segment_id,work,book,chapter,tokens
dbc_book03_ch032,dbc,3,32,191
dbc_book03_ch033,dbc,3,33,81
dbc_book03_ch034,dbc,3,34,132
dbc_book03_ch035,dbc,3,35,63
dbc_book03_ch036,dbc,3,36,242
dbc_book03_ch037,dbc,3,37,243
dbc_book03_ch038,dbc,3,38,116
dbc_book03_ch039,dbc,3,39,81
dbc_book03_ch040,dbc,3,40,211
dbc_book03_ch041,dbc,3,41,174
dbc_book03_ch042,dbc,3,42,174
dbc_book03_ch043,dbc,3,43,115
dbc_book03_ch044,dbc,3,44,216
dbc_book03_ch045,dbc,3,45,168
dbc_book03_ch046,dbc,3,46,183
dbc_book03_ch047,dbc,3,47,192
dbc_book03_ch048,dbc,3,48,57
dbc_book03_ch049,dbc,3,49,187
dbc_book03_ch050,dbc,3,50,53
dbc_book03_ch051,dbc,3,51,213
dbc_book03_ch052,dbc,3,52,52
dbc_book03_ch053,dbc,3,53,164
dbc_book03_ch054,dbc,3,54,51
dbc_book03_ch055,dbc,3,55,72
dbc_book03_ch056,dbc,3,56,95
dbc_book03_ch057,dbc,3,57,182
dbc_book03_ch058,dbc,3,58,133
dbc_book03_ch059,dbc,3,59,140
dbc_book03_ch060,dbc,3,60,173
dbc_book03_ch061,dbc,3,61,134
dbc_book03_ch062,dbc,3,62,123
dbc_book03_ch063,dbc,3,63,240
dbc_book03_ch064,dbc,3,64,122
dbc_book03_ch065,dbc,3,65,110
dbc_book03_ch066,dbc,3,66,168
dbc_book03_ch067,dbc,3,67,195
dbc_book03_ch068,dbc,3,68,77
dbc_book03_ch069,dbc,3,69,207
dbc_book03_ch070,dbc,3,70,90
dbc_book03_ch071,dbc,3,71,145
dbc_book03_ch072,dbc,3,72,148
dbc_book03_ch073,dbc,3,73,207
dbc_book03_ch074,dbc,3,74,85
dbc_book03_ch075,dbc,3,75,176
dbc_book03_ch076,dbc,3,76,136
dbc_book03_ch077,dbc,3,77,82
dbc_book03_ch078,dbc,3,78,206
dbc_book03_ch079,dbc,3,79,238
dbc_book03_ch080,dbc,3,80,226
dbc_book03_ch081,dbc,3,81,89
dbc_book03_ch082,dbc,3,82,198
dbc_book03_ch083,dbc,3,83,151
dbc_book03_ch084,dbc,3,84,176
dbc_book03_ch085,dbc,3,85,169
dbc_book03_ch086,dbc,3,86,151
dbc_book03_ch087,dbc,3,87,196
dbc_book03_ch088,dbc,3,88,144
dbc_book03_ch089,dbc,3,89,150
dbc_book03_ch090,dbc,3,90,81
dbc_book03_ch091,dbc,3,91,103
dbc_book03_ch092,dbc,3,92,146
dbc_book03_ch093,dbc,3,93,219
dbc_book03_ch094,dbc,3,94,185
dbc_book03_ch095,dbc,3,95,131
dbc_book03_ch096,dbc,3,96,153
dbc_book03_ch097,dbc,3,97,152
dbc_book03_ch098,dbc,3,98,96
dbc_book03_ch099,dbc,3,99,131
dbc_book03_ch100,dbc,3,100,102
dbc_book03_ch101,dbc,3,101,292
dbc_book03_ch102,dbc,3,102,250
dbc_book03_ch103,dbc,3,103,172
dbc_book03_ch104,dbc,3,104,131
dbc_book03_ch105,dbc,3,105,166
dbc_book03_ch106,dbc,3,106,163
dbc_book03_ch107,dbc,3,107,97
dbc_book03_ch108,dbc,3,108,148
dbc_book03_ch109,dbc,3,109,192
dbc_book03_ch110,dbc,3,110,186
dbc_book03_ch111,dbc,3,111,187
dbc_book03_ch112,dbc,3,112,307
