"Caesar_DBC" "Caesar_DBG-01" "Caesar_DBG-02" "Caesar_DBG-03" "Caesar_DBG-04" "Caesar_DBG-05" "Caesar_DBG-06" "Caesar_DBG-07" "Hirtius_DBG-08"
"itinere" 0.151721575427298 0.134605971610377 0.120279047389945 0.083635349874547 0.0655021834061135 0.0813449023861171 0.0182882223847842 0.0636826783114993 0.0308737264587836
"copiis" 0.0805053257369334 0.0611845325501713 0.192446475823911 0.195149149707276 0.0655021834061135 0.108459869848156 0.146305779078274 0.118267831149927 0.123494905835134
"eodem" 0.0990834778300718 0.122369065100343 0.0721674284339668 0.0557568999163646 0.0873362445414847 0.0677874186550976 0.146305779078274 0.0909752547307132 0.185242358752701
"una" 0.0866980431013128 0.110132158590308 0.192446475823911 0.139392249790912 0.131004366812227 0.0677874186550976 0.182882223847842 0.127365356622999 0.0154368632293918
"nauibus" 0.151721575427298 0.0244738130200685 0 0.278784499581823 0.262008733624454 0.108459869848156 0.0182882223847842 0.027292576419214 0
"iubet" 0.0897944017835026 0.0367107195301028 0.0240558094779889 0.111513799832729 0.0436681222707424 0.203362255965293 0.109729334308705 0.191048034934498 0.0463105896881754
"propter" 0.0526380975972257 0.146842878120411 0.168390666345923 0.306662949540006 0.240174672489083 0.0813449023861171 0.0548646671543526 0.0727802037845706 0.138931769064526
"galliae" 0.00928907604656923 0.269211943220754 0.0721674284339668 0.0557568999163646 0.0218340611353712 0.176247288503254 0.164594001463058 0.145560407569141 0.216116085211485
"flumen" 0.102179836512262 0.159079784630445 0.312725523213856 0.0278784499581823 0.109170305676856 0.0542299349240781 0.0731528895391368 0.0636826783114993 0.0308737264587836
"magno" 0.0774089670547436 0.0856583455702398 0.120279047389945 0.223027599665459 0.131004366812227 0.0542299349240781 0.146305779078274 0.118267831149927 0.0926211793763507
"pompeius" 0.24770869457518 0 0 0 0 0 0.0182882223847842 0 0.0154368632293918
"apud" 0.108372553876641 0.159079784630445 0.0962232379119557 0.0557568999163646 0.131004366812227 0.0813449023861171 0.091441111923921 0.054585152838428 0.0617474529175671
"tum" 0.0928907604656923 0.0611845325501713 0.120279047389945 0.111513799832729 0.0655021834061135 0.189804772234273 0.091441111923921 0.0909752547307132 0.0771843161469589
"iter" 0.1207579886054 0.159079784630445 0.0962232379119557 0.0557568999163646 0.0655021834061135 0.0542299349240781 0.0365764447695684 0.118267831149927 0
"cuius" 0.105276195194451 0.0489476260401371 0.0240558094779889 0.111513799832729 0.0655021834061135 0.108459869848156 0.109729334308705 0.109170305676856 0.108058042605743
"exercitus" 0.133143423334159 0.0734214390602056 0.120279047389945 0.0557568999163646 0.0655021834061135 0.0677874186550976 0.091441111923921 0.054585152838428 0.0617474529175671
"praesidio" 0.111468912558831 0.0367107195301028 0.0481116189559779 0.0278784499581823 0.0436681222707424 0.0406724511930586 0.201170446232626 0.118267831149927 0.123494905835134
"romani" 0.0216745107753282 0.367107195301028 0.120279047389945 0.0557568999163646 0.152838427947598 0.0677874186550976 0.0548646671543526 0.109170305676856 0.108058042605743
"longius" 0.0897944017835026 0.0244738130200685 0.0721674284339668 0.083635349874547 0.131004366812227 0.0949023861171367 0.128017556693489 0.100072780203785 0.138931769064526
"nostros" 0.0681198910081744 0.146842878120411 0.192446475823911 0.167270699749094 0.131004366812227 0.0949023861171367 0.0182882223847842 0.0818777292576419 0.0926211793763507
"oppido" 0.0959871191478821 0.0611845325501713 0.264613904257878 0 0 0 0 0.227438136826783 0.0771843161469589
"contra" 0.0928907604656923 0.0367107195301028 0.120279047389945 0.083635349874547 0.0873362445414847 0.0542299349240781 0.0731528895391368 0.0818777292576419 0.216116085211485
"equitum" 0.102179836512262 0.0367107195301028 0.0721674284339668 0.0557568999163646 0.0655021834061135 0.0677874186550976 0.128017556693489 0.109170305676856 0.123494905835134
"fines" 0.00309635868218974 0.232501223690651 0.2165022853019 0.083635349874547 0.152838427947598 0.149132321041215 0.201170446232626 0.054585152838428 0.138931769064526
"nam" 0.0712162496903641 0.0734214390602056 0.144334856867934 0.111513799832729 0.0873362445414847 0.0677874186550976 0.109729334308705 0.109170305676856 0.138931769064526
